,,,,CA,NCA,PQA,
,,,,Industrial,Industrial,Industrial,
Sr.no,Watershed code,GW watershed name,village name,Industrial Wells,Industrial Wells,Industrial Wells,Total 
47,02 - F - 10 - 03,VZM_GOST_GANTYADA,ATTADA,0,0,,0
48,02 - F - 10 - 03,VZM_GOST_GANTYADA,GUNKALAM,0,0,,0
49,02 - F - 10 - 03,VZM_GOST_GANTYADA,DWARAPUDI,0,0,,0
50,02 - F - 10 - 03,VZM_GOST_GANTYADA,SIRIYALLAPETA,0,0,,0
51,02 - F - 10 - 03,VZM_GOST_GANTYADA,RAKODU,0,0,,0
52,02 - F - 10 - 03,VZM_GOST_GANTYADA,PINAVEMALI,0,0,,0
53,02 - F - 10 - 03,VZM_GOST_GANTYADA,KORUKONDA,0,0,,0
54,02 - F - 10 - 03,VZM_GOST_GANTYADA,SARIKA,0,0,,0
55,02 - F - 10 - 03,VZM_GOST_GANTYADA,JAGANNADHAPURAM,0,0,,0
56,02 - F - 10 - 03,VZM_GOST_GANTYADA,DUPPADA,0,0,,0
57,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-II,0,0,,0
58,02 - F - 10 - 03,VZM_GOST_GANTYADA,VIZIANAGARAM BIT-I,0,0,,0
59,02 - F - 10 - 03,VZM_GOST_GANTYADA,HAJISAHEBPETA,0,0,,0
60,02 - F - 10 - 03,VZM_GOST_GANTYADA,VANTITADI AGRAHARAM,0,0,,0
61,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GULIVINDADA AGRAHARAM,0,0,,0
62,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHEEPURUPALLI,0,0,,0
63,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SUMITRAPURAM,0,0,,0
64,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAMALINGAPURAM,0,0,,0
65,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURREYAVALASA,0,0,,0
66,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VISWANADHAPURAM,0,0,,0
67,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALAJANGI,0,0,,0
68,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAVIVALASA,0,0,,0
69,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ANJANEYAPURAM,0,0,,0
70,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VIJAYARAMPURAM,0,0,,0
71,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARIDIVALASA,0,0,,0
72,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,METTAPALLI,0,0,,0
73,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARLAM,0,0,,0
74,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SANKUPALEM,0,0,,0
75,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KARAKAM,0,0,,0
76,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PERIPI,0,0,,0
77,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PURUSHOTHAMA S.L.PURAM,0,0,,0
78,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PARLA,0,0,,0
79,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,POTHAYAVALASA,0,0,,0
80,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ITIKARLAPALLI,0,0,,0
81,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDANADIPALLI,0,0,,0
82,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GATCHALAVALASA,0,0,,0
83,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIKAYAVALASA,0,0,,0
84,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NIMMALAVALASA,0,0,,0
85,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAMPURAM,0,0,,0
86,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVARAPODILAM,0,0,,0
87,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUNIDAM,0,0,,0
88,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHOOLOKAPATHIVARAKATTU,0,0,,0
89,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINNANADIPALLI,0,0,,0
90,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAMULAGAM,0,0,,0
91,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,P.K.PALAVALASA,0,0,,0
92,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLLALAPALEM,0,0,,0
93,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BURRAVARIGOLLALAPALEM,0,0,,0
94,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MANDIRAVALASA,0,0,,0
95,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KODURU,0,0,,0
96,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SIVARAM,0,0,,0
97,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DEVADA,0,0,,0
98,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,DUMMEDA,0,0,,0
99,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONURU,0,0,,0
100,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ARTHAMURU,0,0,,0
101,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONDASAMBHAM,0,0,,0
102,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAPUSAMBHAM,0,0,,0
103,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NAGALLAVALASA,0,0,,0
104,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SADANANDAPURAM,0,0,,0
105,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,RAGOLU,0,0,,0
106,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOLAGAM,0,0,,0
107,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PINATHARIMI,0,0,,0
108,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VALLURU,0,0,,0
109,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUSHINI,0,0,,0
110,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALUGOLU,0,0,,0
111,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MADHUPADA,0,0,,0
112,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,SATHIVADA,0,0,,0
113,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BOPPADAM,0,0,,0
114,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PEDATHARIMI,0,0,,0
115,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,MALYADA,0,0,,0
116,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VOMMI,0,0,,0
117,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,NANDIGAMA ALTHIPALAM,0,0,,0
118,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THAMMAPURAM,0,0,,0
119,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMELLA,0,0,,0
120,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KAMAVARAM,0,0,,0
121,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ALLADAPALEM,0,0,,0
122,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANDIVALASA,0,0,,0
123,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KANIMETTA,0,0,,0
124,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GAITULA CHODAVARAM,0,0,,0
125,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PORAM,0,0,,0
126,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHODAMMA AGRAHARAM,0,0,,0
127,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOVVADA AGRAHARAM,0,0,,0
128,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GUMPAM,0,0,,0
129,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,GOVINDAPURAM,0,0,,0
130,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,LANKALAPALLIPALEM,0,0,,0
131,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHOWDUVADA,0,0,,0
132,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KONAYYAPALEM,0,0,,0
133,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,CHINTAPALLE,0,0,,0
134,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KRISHNAPURAM,0,0,,0
135,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,BHARANIKAM,0,0,,0
136,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,ROLUCHAPPIDI,0,0,,0
137,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PATHIVADA,0,0,,0
138,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,THOTTADAM,0,0,,0
139,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,VEMPADAM,0,0,,0
140,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,PALANKI,0,0,,0
141,02 - F -  08 - 01,VZM_KANDIVALASAGEDDA,KOLLAYAVALASA,0,0,,0
142,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NARAYANAPURAM,0,0,,0
143,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PADAMAYAVALASA,0,0,,0
144,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ARASADA,0,0,,0
145,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENGAPURAM,0,0,,0
146,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VELAGAVALASA(N)ADDUNAND,0,0,,0
147,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,GOPALARAYUDUPETA,0,0,,0
148,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAJUPETA,0,0,,0
149,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SEETHAYYAPETA,0,0,,0
150,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATARAYUDUPETA,0,0,,0
151,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATABHYRIPURAM,0,0,,0
152,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KOYYANAPETA,0,0,,0
153,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHANDRAYYAPETA,0,0,,0
154,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KONDAREJERU,0,0,,0
155,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KASIPATNAM,0,0,,0
156,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAPAYYAVALASA,0,0,,0
157,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MULAKKAYAVALASA,0,0,,0
158,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,MUKAVALASA,0,0,,0
159,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PAYAKAPADU,0,0,,0
160,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHAPPABUTCHAMPETA,0,0,,0
161,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKAMPETA,0,0,,0
162,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KANNAMPETA,0,0,,0
163,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,THAMARAKHANDI,0,0,,0
164,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAGGANDHORAVALASA,0,0,,0
165,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BALLAKRISHNAPURAM,0,0,,0
166,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BAKKUPETA,0,0,,0
167,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINABHOGILA,0,0,,0
168,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,KHASAPETA,0,0,,0
169,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,R.VENKAMPETA,0,0,,0
170,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUPETA,0,0,,0
171,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RANGAMPETA,0,0,,0
172,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PUNUBUTCHAMPETA,0,0,,0
173,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,K. SEETHARAMPURAM,0,0,,0
174,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENNELABUTCHAMPETA,0,0,,0
175,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,VENKATAPURAM,0,0,,0
176,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,ANTIPETA,0,0,,0
177,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,RAMAVARAM,0,0,,0
178,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,PANUKUVALASA (NEAR ARAS,0,0,,0
179,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,SIVARAMPURAM,0,0,,0
180,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BADEVALASA @ LT.VALASA,0,0,,0
181,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHELLIMPETA,0,0,,0
182,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,NIMMALAPADU,0,0,,0
183,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHITRAKOTA BODDAVALASA,0,0,,0
184,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,CHINANKALAM,0,0,,0
185,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,BURJA,0,0,,0
186,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,DAYANIDHIPURAM,0,0,,0
187,02 - F -  06 - 08,VZM_NAG_SVMK_ANTIPETA,JANTHIRAYAPURAM,0,0,,0
188,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SINGAMDORAVALASA,0,0,,0
189,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SANTESWARAM,0,0,,0
190,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,TURUMAMIDI,0,0,,0
191,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,N.R.C. RAJUPURAM,0,0,,0
192,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MAKKUVA,0,0,,0
193,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,BANTUMAKKUVA,0,0,,0
194,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMUDU,0,0,,0
195,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GANJAIBHADRA,0,0,,0
196,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,JILLEDUVALASA,0,0,,0
197,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DULIBHADRA,0,0,,0
198,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DIGUVASEMBI,0,0,,0
199,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,SARIKI,0,0,,0
200,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MOKHASADANDIGAM,0,0,,0
201,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MARIPALLE,0,0,,0
202,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MOKHASAMAMIDIPALLE,0,0,,0
203,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,PANDIRIMAMIDIVALASA,0,0,,0
204,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,ANNAMARAJUVALASA,0,0,,0
205,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,KUDDADIVALASA,0,0,,0
206,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,LAXMIPURAM,0,0,,0
207,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,CHEMIDIPATIPOLAM,0,0,,0
208,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,EDULADANDIGAM,0,0,,0
209,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,ANTIVALASA,0,0,,0
210,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,DATTIVALASA,0,0,,0
211,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GURRAPUVALASA,0,0,,0
212,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,MULAKKAYAVALASA,0,0,,0
213,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,KURUKUTTI,0,0,,0
214,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,TUPAKIVALASA,0,0,,0
215,02 -  F - 06 - 05,VZM_NAG_SVMK_BODURUGEDDA,GADILAVALASA,0,0,,0
216,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,ALAGARUVU,0,0,,0
217,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MULAVALASA,0,0,,0
218,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DUGGERU,0,0,,0
219,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GUNTABHADRA,0,0,,0
220,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PANASABHADRA,0,0,,0
221,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,YERRASAMANTHULAVALASA,0,0,,0
222,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEDAVOOTAGADDA,0,0,,0
223,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NANDA,0,0,,0
224,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SEEBILLIPEDAVALASA,0,0,,0
225,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KHAVIRIVALASA,0,0,,0
226,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEDAGHASILA,0,0,,0
227,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MARKONDAPUTTI,0,0,,0
228,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SARAIVALASA,0,0,,0
229,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NAGULLADABBAGADDA,0,0,,0
230,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,ANASABHADRA,0,0,,0
231,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,VIJAYARAMPURAM,0,0,,0
232,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,LOVARKHANDI,0,0,,0
233,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GOPALAPURAM,0,0,,0
234,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DABBAGADDA,0,0,,0
235,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BANGARUVALASA,0,0,,0
236,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PEETALAVALASA,0,0,,0
237,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BATTIVALASA,0,0,,0
238,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONDAPALLIVALASA,0,0,,0
239,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SAMBARA,0,0,,0
240,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,THOTAVALASA,0,0,,0
241,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SANYASIRAJUPURAM@MARIPI,0,0,,0
242,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KAVIRIPALLE,0,0,,0
243,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,CHINAMRAJUVALASA,0,0,,0
244,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONDABUTCHAMPETA,0,0,,0
245,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KONA,0,0,,0
246,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SURAPADU @ KANJUPAKA,0,0,,0
247,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,JAGGUDORAVALASA,0,0,,0
248,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,THONAM,0,0,,0
249,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BELUGONDA,0,0,,0
250,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MENDANGI,0,0,,0
251,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BIRAMASI,0,0,,0
252,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,NANDAKOTTULAGHASILA,0,0,,0
253,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,VENKATANISSANKAPURAM,0,0,,0
254,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GOCHEKKA,0,0,,0
255,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DONKALAKOTHAPATNAM,0,0,,0
256,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,TONKI,0,0,,0
257,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,TADANGIVALASA,0,0,,0
258,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SIRIVARA,0,0,,0
259,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,POYIMALA,0,0,,0
260,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,BANDAPAI,0,0,,0
261,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,GUNJARI,0,0,,0
262,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,CHINTAMALA,0,0,,0
263,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MASIKA CHINTALA VALASA,0,0,,0
264,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,KODAMA,0,0,,0
265,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,CHORA,0,0,,0
266,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MUDANGI,0,0,,0
267,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,CHINA VOOTAGEDDA,0,0,,0
268,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,THUNDA,0,0,,0
269,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,MAIPALLE,0,0,,0
270,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,PAGULA CHENNURU,0,0,,0
271,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,DOLIYAMBA,0,0,,0
272,02 -  F - 06 - 06,VZM_NAG_SVMK_GOMUKHI,SOLIPIGUDA,0,0,,0
